question,paraphrase_question,answer
How does the department contribute to the field of power electronics?,How does the department contribute to the development of power electronics?,"The department provides consultancy services to start-ups and collaborates with industries in Power Electronics and motor drives. For more information, please visit https://nmamit.nitte.edu.in/department-electrical-electronics.php#Overview."
What role do seminars and workshops play in the department's activities?,What is the role of seminars and workshops in the department's educational and research activities?,"Seminars and workshops help the department stay updated with current trends and technologies. For more information, please visit https://nmamit.nitte.edu.in/department-electrical-electronics.php#Overview."
How does the department engage with students during summer internships?,How does the department involve students in summer internships?,"The department offers summer internships to provide hands-on experience and practical learning opportunities. For more information, please visit https://nmamit.nitte.edu.in/department-electrical-electronics.php#Overview."
What are some examples of working prototypes developed by the department?,What are some examples of functional prototypes created by the department?,"Examples could include prototypes related to power systems, control systems, or electric vehicle technology. For more information, please visit https://nmamit.nitte.edu.in/department-electrical-electronics.php#Overview."
How does the department support faculty development?,How does the department assist faculty members in their professional growth?,"The department organizes Faculty Development Programs to enhance the skills and knowledge of faculty members. For more information, please visit https://nmamit.nitte.edu.in/department-electrical-electronics.php#Overview."
How do collaborations with industries benefit students?,What benefits do students receive from the department's collaborations with businesses?,"Collaborations provide students with exposure to real-world projects, industry insights, and potential career opportunities. For more information, please visit https://nmamit.nitte.edu.in/department-electrical-electronics.php#Overview."
What is the significance of GaN and SiC devices in the department's research?,Why are GaN and SiC devices important in the department's research?,"GaN and SiC devices represent advanced semiconductor technologies used in converter design and power electronics. For more information, please visit https://nmamit.nitte.edu.in/department-electrical-electronics.php#Overview."
What are the main themes covered in the department's seminars and conferences?,What are the primary topics discussed in the department's seminars and conferences?,"Seminars and conferences cover topics such as new developments in power systems, control technologies, and electric vehicles. For more information, please visit https://nmamit.nitte.edu.in/department-electrical-electronics.php#Overview."
What is the vision of the Electrical & Electronics Engineering department?,What are the goals and aspirations of the Electrical & Electronics Engineering department?,"The vision is to pursue excellence in Electrical & Electronics Engineering, creating a research environment to promote innovation and address global challenges. For more information, please visit https://nmamit.nitte.edu.in/department-electrical-electronics.php#Overview."
What is the mission statement of the department?,What are the objectives and purposes of the department?,"The mission of the department is to equip students to face global challenges, offer high-quality graduate and postgraduate programs, promote excellence in research and collaborative activities, and contribute to social development with ethical values. For more information, please visit https://nmamit.nitte.edu.in/department-electrical-electronics.php#Overview."
How does the department aim to promote innovation?,What strategies does the department use to encourage innovation?,"By creating a research environment that encourages creativity, exploration of new ideas, and the development of innovative solutions. For more information, please visit https://nmamit.nitte.edu.in/department-electrical-electronics.php#Overview."
What are some global challenges that the department aims to address through its research environment?,What are some worldwide issues that the department seeks to tackle through its research activities?,"Global challenges could include issues related to sustainable energy, advanced technologies, environmental protection, and societal well-being. For more information, please visit https://nmamit.nitte.edu.in/department-electrical-electronics.php#Overview."
What role does excellence play in the department's vision and mission?,How does the department incorporate the pursuit of excellence into its vision and mission?,"Excellence is a core value that drives the department's pursuit of high-quality education, research, and societal contributions. For more information, please visit https://nmamit.nitte.edu.in/department-electrical-electronics.php#Overview."
How does the department prepare students for professional careers?,What steps does the department take to equip students for their future careers?,"By providing them with the necessary skills, knowledge, and ethical values to excel in their chosen fields. For more information, please visit https://nmamit.nitte.edu.in/department-electrical-electronics.php#Overview."
What types of graduate programs does the department offer?,Which postgraduate courses does the department provide?,"The department offers high-quality graduate and postgraduate programs in Electrical & Electronics Engineering. For more information, please visit https://nmamit.nitte.edu.in/department-electrical-electronics.php#Overview."
How does the department ensure the quality of its programs?,What measures does the department implement to maintain the high quality of its programs?,"By maintaining rigorous academic standards, engaging experienced faculty members, and regularly updating curricula to align with industry trends. For more information, please visit https://nmamit.nitte.edu.in/department-electrical-electronics.php#Overview."
What are some examples of collaborative activities the department engages in?,What are some instances of the department's collaborative efforts?,"Collaborative activities may include research partnerships with other institutions, industry collaborations, and joint projects with government agencies. For more information, please visit https://nmamit.nitte.edu.in/department-electrical-electronics.php#Overview."
How does the department contribute to social development?,What contributions does the department make to social progress?,"By conducting research that addresses societal needs, promoting ethical values among students, and engaging in community outreach programs. For more information, please visit https://nmamit.nitte.edu.in/department-electrical-electronics.php#Overview."
What values are emphasized in the department's approach to education?,What principles does the department focus on in its educational approach?,"Values such as integrity, professionalism, teamwork, and a commitment to lifelong learning are emphasized. For more information, please visit https://nmamit.nitte.edu.in/department-electrical-electronics.php#Overview."
What resources does the department provide to support research activities?,What support does the department offer to its research endeavors?,"The department provides access to state-of-the-art laboratories, research grants, academic journals, and collaboration opportunities. For more information, please visit https://nmamit.nitte.edu.in/department-electrical-electronics.php#Overview."
How does the department encourage students to pursue higher education?,What incentives does the department offer to students to continue their education?,"By offering mentorship, guidance on academic pathways, and opportunities for research and scholarly activities. For more information, please visit https://nmamit.nitte.edu.in/department-electrical-electronics.php#Overview."
What are the key areas of focus in the department's research initiatives?,What are the main themes of the department's research projects?,"Key areas may include renewable energy, power systems, electronics, telecommunications, automation, and robotics, among others. For more information, please visit https://nmamit.nitte.edu.in/department-electrical-electronics.php#Overview."
How does the department foster a culture of innovation among students and faculty?,What does the department do to cultivate an environment of innovation among its students and faculty?,"By promoting interdisciplinary collaboration, hosting innovation challenges, and recognizing and rewarding creative achievements. For more information, please visit https://nmamit.nitte.edu.in/department-electrical-electronics.php#Overview."
What measures does the department take to ensure ethical values in research and professional conduct?,What steps does the department take to uphold ethical standards in research and professional behavior?,"By adhering to ethical guidelines, promoting responsible conduct of research, and encouraging ethical decision-making in academic and professional settings. For more information, please visit https://nmamit.nitte.edu.in/department-electrical-electronics.php#Overview."
How does the department engage with industry partners?,What ways does the department interact with business partners?,"Through industry advisory boards, internships, guest lectures, joint projects, and technology transfer initiatives. For more information, please visit https://nmamit.nitte.edu.in/department-electrical-electronics.php#Overview."
What opportunities does the department provide for international collaboration?,What international collaboration opportunities does the department offer?,"Through partnerships with international universities, participation in global conferences, exchange programs, and collaborative research projects. For more information, please visit https://nmamit.nitte.edu.in/department-electrical-electronics.php#Overview."
How does the department measure the impact of its research and educational programs?,What methods does the department use to assess the impact of its research and educational initiatives?,"Through metrics such as publications, patents, student outcomes, alumni achievements, industry partnerships, and societal contributions. For more information, please visit https://nmamit.nitte.edu.in/department-electrical-electronics.php#Overview."
What initiatives does the department take to stay updated with the latest advancements in Electrical & Electronics Engineering?,What steps does the department undertake to keep abreast of the latest developments in Electrical & Electronics Engineering?,"By organizing seminars, workshops, conferences, continuing education programs, and inviting experts from academia and industry to share insights and knowledge. For more information, please visit https://nmamit.nitte.edu.in/department-electrical-electronics.php#Overview."
What are Mr. ANUP SHETTY's educational qualifications?,What are the academic credentials of Mr. ANUP SHETTY?,Mr. ANUP SHETTY holds a Bachelor's degree in Electrical & Electronics Engineering (B.E) and a Master's degree in Power Electronics (M.Tech).
What is Mr. ANUP SHETTY's past experience?,What is the professional background of Mr. ANUP SHETTY?,"Mr. ANUP SHETTY worked as a Research Assistant at NMAM Institute of Technology from October 2020. He also served as an Assistant Professor Gd-I from July 1, 2022."
What are Mr. ANUP SHETTY's areas of interest?,What are the research or professional interests of Mr. ANUP SHETTY?,"Mr. ANUP SHETTY's areas of interest include Power Electronics, Control Systems, and Embedded Systems."
What is Mr. ANUP SHETTY's departmental responsibility?,What are the duties and responsibilities of Mr. ANUP SHETTY in his department?,Mr. ANUP SHETTY serves as the Project Co-Coordinator.
What are Ms. NUTANA SHETTY's educational qualifications?,What are the academic credentials of Ms. NUTANA SHETTY?,"Ms. NUTANA SHETTY holds a Master's degree in Power Electronics from N.M.A.M. Institute of Technology, Nitte, obtained in 2017. She also has a Bachelor's degree in Electrical and Electronics Engineering from N.M.A.M. Institute of Technology, Nitte, obtained in 2015."
What is Ms. NUTANA SHETTY's past experience?,What is the professional background of Ms. NUTANA SHETTY?,"Ms. NUTANA SHETTY has worked as an Assistant Professor Gd-I in the department of Electrical and Electronics Engineering from 2020. She also served as an Assistant Professor Gd. I in the department of Electronics and Communication Engineering at NMAMIT Nitte from January 15, 2018. Prior to that, she worked in Engineering at MIT Kundapura from July 20, 2017, to January 12, 2018."
What are Ms. NUTANA SHETTY's areas of interest?,What are the research or professional interests of Ms. NUTANA SHETTY?,Ms. NUTANA SHETTY's area of interest is Power Electronics.
What are Ms. NUTANA SHETTY's departmental responsibilities?,What are the duties and responsibilities of Ms. NUTANA SHETTY in her department?,Ms. NUTANA SHETTY serves as the E-attestation Co-Coordinator and MSE Coordinator.
What subjects has Ms. NUTANA SHETTY handled?,Which subjects has Ms. NUTANA SHETTY taught or specialized in?,Ms. NUTANA SHETTY has handled subjects such as Signals and Systems and Digital System Design.
Which conferences/CME/workshops has Ms. NUTANA SHETTY attended?,"Which conferences, CMEs, or workshops has Ms. NUTANA SHETTY attended?","Ms. NUTANA SHETTY has attended various workshops including those on Application of Lab VIEW to automation and robotics, Application of PSCAD, Embedded systems design and IoT design, Mathematica-A Math Tool for Teaching and Research, PLC based Programming and Automation, LATEX for Documentation, Conversion of Academic Project Ideas into Patent and Copyrights, Embedded systems for Communication applications, Design, analyses, and hardware Implementation of Switched Mode Power Converters, Discrete mathematics and computational solution of differential equations-applications, Embedded Systems & wireless Sensor Network for IoT, Introduction to Matlab and AI Workflows, and Design and Development of Automated System using PLC."
What are Ms. PALIMARU APARNA's educational qualifications?,What are the academic credentials of Ms. PALIMARU APARNA?,"Ms. PALIMARU APARNA holds a Master's degree in Microelectronics and Control Systems, obtained in 2017 from VTU. She also has a Bachelor's degree in Electrical and Electronics Engineering, obtained in 2015 from an autonomous institution under VTU."
What is Ms. PALIMARU APARNA's past experience?,What is the professional background of Ms. PALIMARU APARNA?,"Ms. PALIMARU APARNA worked as an Assistant Professor at NMIT, Bangalore, from October 6, 2017, to July 14, 2018. Subsequently, she served as an Assistant Professor Gd-I at N.M.A.M Institute of Technology from 2018."
What are Ms. PALIMARU APARNA's areas of interest?,What are the research or professional interests of Ms. PALIMARU APARNA?,Ms. PALIMARU APARNA's areas of interest include Pattern Recognition using Machine Learning and Control Systems.
What are Ms. PALIMARU APARNA's departmental responsibilities?,What are the duties and responsibilities of Ms. PALIMARU APARNA in her department?,"Ms. PALIMARU APARNA serves as the NBA Co-Coordinator, IQAC Coordinator, AICTE Activity/NSS Coordinator, Workshop data Coordinator, and MSE Co-coordinator."
What professional memberships does Ms. PALIMARU APARNA have?,What are the professional associations or memberships of Ms. PALIMARU APARNA?,Ms. PALIMARU APARNA holds a lifetime membership of ISTE (Indian Society for Technical Education).
Which subjects has Ms. PALIMARU APARNA handled?,Which subjects has Ms. PALIMARU APARNA taught or specialized in?,"Ms. PALIMARU APARNA has handled subjects such as Basic Electrical Engineering, Renewable Energy Sources, and Non-Conventional Energy Systems."
Which conferences/CME/Workshops has Ms. PALIMARU APARNA attended?,"Which conferences, CMEs, or workshops has Ms. PALIMARU APARNA attended?","Ms. PALIMARU APARNA, along with Praveen Mirajkar and RaghavendraPrabhu, presented a paper titled 'Detection and Classification of Ventricular Tachycardia Using SVM' at NCAEE 2017, held at N.M.A.M. Institute of Technology, Nitte, in April 2017."
What are Ms. SWATHI K's educational qualifications?,What are the academic credentials of Ms. SWATHI K?,"Ms. SWATHI K holds a Master's degree in Digital Electronics and Communication, obtained in 2013 from NMAMIT Nitte. She also has a Bachelor's degree in Instrumentation Technology, obtained from Dr. Ambedkar Institute of Technology, Bangalore."
What is Ms. SWATHI K's past experience?,What is the professional background of Ms. SWATHI K?,"Ms. SWATHI K has a substantial teaching experience. She served as a Lecturer in the E&E Department at Canara Engineering College, Mangaluru, from May 2008 to September 2013. From October 2013 to July 2022, she worked as an Assistant Professor in the E&E Department at the same institution. Later, from August 2022 to July 2023, she served as an Assistant Professor in the E&C Department at Canara Engineering College, Mangaluru. Since July 2023, she has been working as an Assistant Professor in the E&E Department at NMAMIT Nitte."
What are Ms. SWATHI K's areas of interest?,What are the research or professional interests of Ms. SWATHI K?,"Ms. SWATHI K's areas of interest include Digital Electronics and Communication, Digital Signal Processing, Renewable Energy Sources, and Electrical and Electronics Measurements."
What professional memberships does Ms. SWATHI K have?,What are the professional associations or memberships of Ms. SWATHI K?,Ms. SWATHI K is a Life Member of ISTE (Indian Society for Technical Education).
Which subjects has Ms. SWATHI K handled?,Which subjects has Ms. SWATHI K taught or specialized in?,"Ms. SWATHI K has handled subjects such as Digital Signal Processing, Linear IC's & Applications, Modern Control Theory, Electrical & Electronic Measurement & Instrumentation, Basic Electrical Engineering, Renewable Energy Sources, Sensors and Transducers, Signals and Systems, Micro and nano scale sensors and transducers, Operation and maintenance of Solar Electric Systems, and Introduction to Internet of Things."
What are Mr. ANAND BHAT B's educational qualifications?,What are the academic credentials of Mr. ANAND BHAT B?,"Mr. ANAND BHAT B holds a Master of Technology degree in Industrial Drives and Applications, obtained in 2016 from Malnad College of Engineering, Hassan. He also has a Bachelor's degree in Electrical and Electronics Engineering, obtained from Canara Engineering College, Mangaluru, in 2014. Additionally, he is registered for a PhD program under Nitte Deemed to be University."
What is Mr. ANAND BHAT B's past experience?,What is the professional background of Mr. ANAND BHAT B?,"Mr. ANAND BHAT B has held various positions in academia and industry. His past roles include Assistant Professor Gd-II at NMAM Institute of Technology, Department of EEE, since April 2023. He also served as Assistant Professor Gd-II and Gd-I at Canara Engineering College in the Departments of ECE and EEE from June 2022 to May 2022. Prior to that, he worked as an Assistant Professor Gd-I at CMR Institute of Technology, Department of EEE, from July 2016 to December 2017. He also had an internship at Unitek, Udupi, from January 2016 to April 2016."
What are Mr. ANAND BHAT B's areas of interest?,What are the research or professional interests of Mr. ANAND BHAT B?,"Mr. ANAND BHAT B's areas of interest include Power Electronics, Industrial Drives, Battery Management Systems, EV Technology, Thermoelectricity, and the Application of Machine Learning and AI techniques in Power Electronics and Drives."
What is a notable achievement of Mr. ANAND BHAT B?,What is a significant accomplishment of Mr. ANAND BHAT B?,Mr. ANAND BHAT B's project titled 'Low Cost Domestic Solar Desalination' won first place in AICTE Regional Convection and was the runner up for AICTE Chhathra Vishwakarma Award in February 2020.
Which subjects has Mr. ANAND BHAT B handled?,Which subjects has Mr. ANAND BHAT B taught or specialized in?,"Mr. ANAND BHAT B has handled subjects such as Programmable Logic Controllers, High Voltage Engineering, Electric Motors, Electrical Design, Estimation and Costing, Electric Power Utilization, Power Electronics, Operation & Maintenance of Solar Electrical Systems, Management & Entrepreneurship, Microcontroller, Industrial Drives & Applications, Spacecraft Power Technologies, Non-Conventional Energy Systems, Power Electronics & Instrumentation, Basic Electronics, and Basic Electrical Engineering."
What is Ms. SWATHI HATWAR H's past experience?,What is the professional background of Ms. SWATHI HATWAR H?,"Ms. SWATHI HATWAR H has worked as an Assistant Professor Gd-I in NMAM Institute of Technology from July 2014 to January 2020, and subsequently as an Assistant Professor Gd-II in NMAM Institute of Technology from January 2020."
What are Ms. SWATHI HATWAR H's areas of interest?,What are the research or professional interests of Ms. SWATHI HATWAR H?,Ms. SWATHI HATWAR H's areas of interest include Power Electronics and Control Systems.
What are Ms. SWATHI HATWAR H's departmental responsibilities?,What are the duties and responsibilities of Ms. SWATHI HATWAR H in her department?,"Ms. SWATHI HATWAR H's departmental responsibilities include MOOC Coordinator, Class Advisor, Timetable Coordinator, ELITES Coordinator, and Website Coordinator."
What professional memberships does Ms. SWATHI HATWAR H hold?,What are the professional associations or memberships of Ms. SWATHI HATWAR H?,Ms. SWATHI HATWAR H is a member of the Indian Society of Systems for Science and Engineering (ISSE).
Which subjects has Ms. SWATHI HATWAR H handled?,Which subjects has Ms. SWATHI HATWAR H taught or specialized in?,"Ms. SWATHI HATWAR H has handled subjects such as Basic Electrical Engineering (UG), Power Semiconductor Devices (UG & PG), Programmable Logic Controllers (UG), Linear Control Systems (UG), High Speed VLSI Design (PG), and Microcontrollers (UG)."
What conferences/CME/workshops has Ms. SWATHI HATWAR H attended?,"Which conferences, CMEs, or workshops has Ms. SWATHI HATWAR H attended?","Ms. SWATHI HATWAR H has attended various workshops and faculty development programs, including sessions on NBA and NAAC Accreditation Process, Power System Engineering and Electric Vehicles, Hands-on Training on the use of Digital Board & Pedagogical Techniques, Role of LaTeX in Scientific Writing, and Electric Vehicle: Challenges In Charging & Their Impact On Power Grid."
What are Mr. MD ABDUL RAHEMAN's educational qualifications?,What are the academic credentials of Mr. MD ABDUL RAHEMAN?,"Mr. MD ABDUL RAHEMAN holds a Ph.D. (currently pursuing), M.E. in Power and Energy Systems from Bangalore University (2012), and B.E. in Electrical and Electronics Engineering from VTU, Belagavi (2009)."
What are Mr. MD ABDUL RAHEMAN's areas of interest?,What are the research or professional interests of Mr. MD ABDUL RAHEMAN?,"Mr. MD ABDUL RAHEMAN's areas of interest include Application of Machine Learning techniques in Power Systems, Power Electronics and Structural analysis, Control System design, Mathematical Modeling of ECGs, and Application of Power Electronics to Power Systems."
What are Mr. MD ABDUL RAHEMAN's departmental responsibilities?,What are the duties and responsibilities of Mr. MD ABDUL RAHEMAN in his department?,Mr. MD ABDUL RAHEMAN serves as the NBA Coordinator.
What professional memberships does Mr. MD ABDUL RAHEMAN hold?,What are the professional associations or memberships of Mr. MD ABDUL RAHEMAN?,Mr. MD ABDUL RAHEMAN is a member of the Society of Automobile Engineers.
Which subjects has Mr. MD ABDUL RAHEMAN handled?,Which subjects has Mr. MD ABDUL RAHEMAN taught or specialized in?,"Mr. MD ABDUL RAHEMAN has handled subjects such as Power System Analysis and Stability, Electrical Machine Design and CAD, Fundamentals of Python Programming, Generation, Transmission and Distribution, Transformers and Induction Machines, Basic Electrical Engineering, Power System Operation and Control, FACTS, Application of Power Electronics to Power Systems, and Electric Drives."
Who are the project guides for Mr. MD ABDUL RAHEMAN?,Who supervise the projects of Mr. MD ABDUL RAHEMAN?,There is no information available about the project guides for Mr. MD ABDUL RAHEMAN.
What are Mr. GURURAJ K's educational qualifications?,What are the academic credentials of Mr. GURURAJ K?,"Mr. GURURAJ K holds an M. Tech in Energy Management, Auditing and Lighting from MIT Manipal (2011) and a B.E. in Electrical and Electronics from MIT, Manipal (2004)."
What is Mr. GURURAJ K's past experience?,What is the professional background of Mr. GURURAJ K?,"Mr. GURURAJ K served as a Lecturer in MIT Manipal and MIT Kundapur from 2008 to 2012. He also worked in the industry at ASAP Automation, ESIL, and CLI3 from 2005 to 2007."
What are Mr. GURURAJ K's areas of interest?,What are the research or professional interests of Mr. GURURAJ K?,"Mr. GURURAJ K's areas of interest include Lighting, Solid State Lighting & Controls, Control Systems, Electronics & Networks, and Power Generation, Transmission & Distribution."
What are Mr. GURURAJ K's departmental responsibilities?,What are the duties and responsibilities of Mr. GURURAJ K in his department?,"Mr. GURURAJ K's departmental responsibilities include ISTE Coordinator, Faculty in charge of Criteria iv for NAAC & Criteria vi & vii for NBA, Faculty Advisor, Department Library Coordinator, and Project Guide."
What professional memberships does Mr. GURURAJ K hold?,What are the professional associations or memberships of Mr. GURURAJ K?,"Mr. GURURAJ K is a member of the Institution of Engineers, India."
Which subjects has Mr. GURURAJ K handled?,Which subjects has Mr. GURURAJ K taught or specialized in?,"Mr. GURURAJ K has handled subjects such as Electro Magnetic Fields, Power System Analysis & Stability, Transmission & Distribution, Renewable Energy Sources, Instrumentation and Measurements, Electric Power Generation, Linear Control Systems, Basic Electrical Engineering, Electrical Power Utilization, and Non-Conventional Energy Systems."
What are Mr. RAVIKIRAN RAO M's educational qualifications?,What are the academic credentials of Mr. RAVIKIRAN RAO M?,"Mr. RAVIKIRAN RAO M holds an M. Tech in Power and Energy Systems from NITK, Surathkal (2011) and a B.E. in Electrical and Electronics from VTU (2009)."
What is Mr. RAVIKIRAN RAO M's past experience?,What is the professional background of Mr. RAVIKIRAN RAO M?,"Mr. RAVIKIRAN RAO M worked as an Assistant Professor at Acharya Institute of Technology from 2013 to 2014. Prior to that, he worked in the industry at Feedback Infra Pvt. Ltd. from 2011 to 2013."
What are Mr. RAVIKIRAN RAO M's areas of interest?,What are the research or professional interests of Mr. RAVIKIRAN RAO M?,Mr. RAVIKIRAN RAO M's areas of interest include Power Electronics and Embedded Systems.
What departmental responsibilities does Mr. RAVIKIRAN RAO M have?,What are the duties and responsibilities of Mr. RAVIKIRAN RAO M in his department?,Mr. RAVIKIRAN RAO M's departmental responsibilities include being the ISO coordinator and Time table coordinator.
What professional memberships does Mr. RAVIKIRAN RAO M hold?,What are the professional associations or memberships of Mr. RAVIKIRAN RAO M?,Mr. RAVIKIRAN RAO M is a member of the Indian Society of Systems for Science and Engineering (ISSE).
Which subjects has Mr. RAVIKIRAN RAO M handled?,Which subjects has Mr. RAVIKIRAN RAO M taught or specialized in?,"Mr. RAVIKIRAN RAO M has handled subjects such as Analog Electronic Circuits, Logic Design, Microcontroller, Linear Integrated Circuits, DC and Synchronous Machines, HVDC Power Transmission, and Basic Electrical Engineering."
How many projects has Mr. RAVIKIRAN RAO M guided?,What is the number of projects Mr. RAVIKIRAN RAO M has supervised?,Mr. RAVIKIRAN RAO M has guided 2 M.Tech projects and 7 B.E. projects.
What are Ms. RAKSHA ADAPPA's educational qualifications?,What are the academic credentials of Ms. RAKSHA ADAPPA?,Ms. RAKSHA ADAPPA holds a B.E. in Electrical & Electronics from VTU (2007) and an M. Tech in Digital Electronics and Advanced Communication from Manipal University (2010).
What are Ms. RAKSHA ADAPPA's areas of interest?,What are the research or professional interests of Ms. RAKSHA ADAPPA?,Ms. RAKSHA ADAPPA's areas of interest include Power Electronics.
What departmental responsibilities does Ms. RAKSHA ADAPPA have?,What are the duties and responsibilities of Ms. RAKSHA ADAPPA in her department?,"Ms. RAKSHA ADAPPA's departmental responsibilities include being the UG Co-coordinator, Student Monitoring and Discipline, and MOOC/NPTEL/Coursera coordinator."
What professional memberships does Ms. RAKSHA ADAPPA hold?,What are the professional associations or memberships of Ms. RAKSHA ADAPPA?,Ms. RAKSHA ADAPPA is a member of the Indian Society of Systems for Science and Engineering (ISSE).
Which subjects has Ms. RAKSHA ADAPPA handled?,Which subjects has Ms. RAKSHA ADAPPA taught or specialized in?,"Ms. RAKSHA ADAPPA has handled subjects such as Basic Electrical Engineering, Electrical Measurements, Operations Research, Industrial Management and Electrical Estimation, Electrical Machine Design, Electrical Power Utilization, Transformers and Induction Machines, Power Electronics, Transmission and Distribution, Fuzzy Logic (UG & PG), Artificial Neural Network, Human Resource Management, and Soft Computing (PG)."
What are Mr. MAHABALESHWARA SHARMA K's educational qualifications?,What are the academic credentials of Mr. MAHABALESHWARA SHARMA K?,Mr. MAHABALESHWARA SHARMA K holds an M. Tech in Instrumentation and Control Systems from the University of Calicut (1997) and a B.E. in Electrical and Electronics Engineering from Mysore University (1992).
What is Mr. MAHABALESHWARA SHARMA K's past experience?,What is the professional background of Mr. MAHABALESHWARA SHARMA K?,Mr. MAHABALESHWARA SHARMA K worked at Wipro Technologies as a Technical Manager from 1999 to 2009.
What are Mr. MAHABALESHWARA SHARMA K's areas of interest?,What are the research or professional interests of Mr. MAHABALESHWARA SHARMA K?,Mr. MAHABALESHWARA SHARMA K's areas of interest include Signals and Systems and Digital Signal Processing.
What departmental responsibilities does Mr. MAHABALESHWARA SHARMA K have?,What are the duties and responsibilities of Mr. MAHABALESHWARA SHARMA K in his department?,Mr. MAHABALESHWARA SHARMA K serves as the Nitte News Co-ordinator and ReferenceGlobe Co-ordinator of the Department of E&E Engineering.
Which subjects has Mr. MAHABALESHWARA SHARMA K handled?,Which subjects has Mr. MAHABALESHWARA SHARMA K taught or specialized in?,"Mr. MAHABALESHWARA SHARMA K has handled subjects such as Digital Signal Processing, Microcontrollers, and Basic Electrical Engineering."
What are Dr. N S S RAMAKRISHNA's educational qualifications?,What are the academic credentials of Dr. N S S RAMAKRISHNA?,"Dr. N S S RAMAKRISHNA holds a Doctor of Philosophy (Ph.D.) in Electrical Department from VIT Vellore (2022), a Master of Technology in Power And Energy Systems from the National Institute of Technology, Karnataka (2012-2014), and a Bachelor of Technology in Electrical and Electronics Engineering from JNTU, Kakinada (2008–2012)."
What is Dr. N S S RAMAKRISHNA's past experience?,What is the professional background of Dr. N S S RAMAKRISHNA?,"Dr. N S S RAMAKRISHNA worked as an Assistant Professor Grade-III in NMAM Institute of Technology, NITTE, from October 2023, as an Assistant Professor (Senior Grade) in GMR Institute of Technology Rajam, Andhra Pradesh from June 2016 to September 2023, as an Assistant Professor in Madanapalle Institute of Technology and Science, Chittoor District from April 2015 to May 2016, and as a Technical Team Member in RECS Visakhapatnam from August 2014 to March 2015."
What are Dr. N S S RAMAKRISHNA's areas of interest?,What are the research or professional interests of Dr. N S S RAMAKRISHNA?,"Dr. N S S RAMAKRISHNA's areas of interest include Power system Grid Sustainability Optimization, Techno Economic solutions, and Electric Vehicles."
What achievements has Dr. N S S RAMAKRISHNA earned?,What are the notable accomplishments of Dr. N S S RAMAKRISHNA?,"Dr. N S S RAMAKRISHNA secured an ALL-INDIA Rank of 987 in GATE 2012, was recommended for SSC in SSB Agartala Coimbatore, and received the best faculty award for the year 2019 and 2020 from GMR Varalakshmi foundation. Additionally, Dr. N S S RAMAKRISHNA serves as a reviewer for various SCI indexed journals."
